"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"700803559571337216","","","2016-02-19 22:06:03 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ritholtz: Historic Election ! https://t.co/YfRhr90TqC","700767190421639168","49753604","2016-02-19 19:41:32 +0000","https://twitter.com/ritholtz/status/700767190421639168/photo/1,https://twitter.com/ritholtz/status/700767190421639168/photo/1"
"692205492450545667","","","2016-01-27 04:40:24 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TurntAlien: Ayy lmao Squidward lit 🔥🔥 https://t.co/8eogsBCwv5","692182438949314562","3399224657","2016-01-27 03:08:48 +0000","https://vine.co/v/iiFOdQPnqVM,https://vine.co/v/iiFOdQPnqVM"
"689710033685217280","","","2016-01-20 07:24:20 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CrazyAnimals_: When the drugs hit..  https://t.co/iVPLQoVp9B","689157372615495680","2388013107","2016-01-18 18:48:16 +0000","https://vine.co/v/iOqAK96LOgB,https://vine.co/v/iOqAK96LOgB"
"689210142076751872","","","2016-01-18 22:17:57 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FastTastyFood: Chocolate chip Reese's cheesecake bars 🔥😍 https://t.co/QbbgjpxXci","687721276677459969","3084779046","2016-01-14 19:41:44 +0000","https://twitter.com/FastTastyFood/status/687721276677459969/video/1,https://twitter.com/FastTastyFood/status/687721276677459969/video/1"
"688787325153742848","","","2016-01-17 18:17:50 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Skrillex: 🔻🔻🔻🔻🔻 https://t.co/R48xfLfSld","688616782245015552","18825961","2016-01-17 07:00:09 +0000","https://twitter.com/Skrillex/status/688616782245015552/video/1,https://twitter.com/Skrillex/status/688616782245015552/video/1"
"683373706945511424","","","2016-01-02 19:46:02 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#timetodip","","","",""
"683373455111139328","","","2016-01-02 19:45:02 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AthWayOfLife: Dab on em 😂😂💀💀
https://t.co/I3qkkguQWx","680372941486460929","629596058","2015-12-25 13:02:04 +0000","https://twitter.com/AryanaLloyd/status/679862123816685568/video/1,https://twitter.com/AryanaLloyd/status/679862123816685568/video/1"
"681159893215096832","","","2015-12-27 17:09:08 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NiggaCommentary: Bryan 😂😂😂
https://t.co/lozqNYz5VY","681131463685844992","3253962492","2015-12-27 15:16:10 +0000","https://vine.co/v/ebmYDvlglAD,https://vine.co/v/ebmYDvlglAD"
"675406269193129985","","","2015-12-11 20:06:17 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#KeepItAboveTheHeart","","","",""
"667735570697687041","","","2015-11-20 16:05:40 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I'm thankful for these days off. #avalonfinite","","","",""
"667543375092912130","","","2015-11-20 03:21:57 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NoChillHumor_: A brief summary of 2015 https://t.co/G1ynqjjOx0","664473997682323457","741702152","2015-11-11 16:05:21 +0000","https://vine.co/v/e32I3OgJEmn,https://vine.co/v/e32I3OgJEmn"
"666808676003373056","","","2015-11-18 02:42:31 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @soturntaliens: AYY LMAO, GOT THE TATTOO🔥

 https://t.co/lAr1XwYqGM","660928652813713408","327010453","2015-11-01 21:17:24 +0000","https://twitter.com/lilmayylmao/status/658413960576790528/video/1,https://twitter.com/lilmayylmao/status/658413960576790528/video/1"
"662119065134104580","","","2015-11-05 04:07:41 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FillWerrell: That moment you realize Bernie Sanders has your vote. https://t.co/O8z5j9CVxP","662043359746367488","386189099","2015-11-04 23:06:51 +0000","https://vine.co/v/eLqL2wxJYqm,https://vine.co/v/eLqL2wxJYqm"
"661556252778979329","","","2015-11-03 14:51:16 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jedisct1: Cats aren't as useless as everyone says https://t.co/wXVPUc0YMn","661292954242428928","17396038","2015-11-02 21:25:01 +0000","https://vine.co/v/eDeVgbFrt9L,https://vine.co/v/eDeVgbFrt9L"
"660262946258288640","","","2015-10-31 01:12:08 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Dj_Trick: Made my day😂😭😂😂😂 https://t.co/gAl3Avaaxe","660128693172334592","352879590","2015-10-30 16:18:39 +0000","https://twitter.com/Dj_Trick/status/660128693172334592/photo/1,https://twitter.com/Dj_Trick/status/660128693172334592/photo/1"
"659203496986570752","","","2015-10-28 03:02:15 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SubliminaIMsgs: when the squad hands me the aux cord https://t.co/nZfVdP66ne","641452613469401093","2226332482","2015-09-09 03:26:35 +0000","https://vine.co/v/Otjjql5Yji9,https://vine.co/v/Otjjql5Yji9"
"659069072949153792","","","2015-10-27 18:08:06 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JustusRamming: @BarackObama Can you write me a letter of rec?","659065759931330560","449630328","2015-10-27 17:54:56 +0000",""
"655864926464966656","","","2015-10-18 21:55:58 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @teenagernotes: Hotline Bling by Sponge Bob https://t.co/HIobi6ElD6","655814835695919104","148779151","2015-10-18 18:36:55 +0000","https://twitter.com/WORLDSTAR/status/655427682805530624/video/1,https://twitter.com/WORLDSTAR/status/655427682805530624/video/1"
"637332341044678656","","","2015-08-28 18:34:05 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WorldStarFunny: When the pizza man at the door 😂 https://t.co/3OTYf2fe5n","637010962663370752","1107613844","2015-08-27 21:17:03 +0000","https://vine.co/v/heW7uxEmgX1,https://vine.co/v/heW7uxEmgX1"
"636084372282609664","","2802867446","2015-08-25 07:55:06 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@pixelsorter cmd[middle 5 max 90 min 80 reverse true] https://t.co/50t6G0Wre2","","","","https://twitter.com/nicholiswood/status/636084372282609664/photo/1"
"635885871770697728","","","2015-08-24 18:46:20 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FillWerrell: This is FIFA in a nutshell https://t.co/KdIe3YJS3j","635655175617818624","386189099","2015-08-24 03:29:38 +0000","https://twitter.com/FunnyVideoGame/status/635240085433159680/video/1,https://twitter.com/FunnyVideoGame/status/635240085433159680/video/1"
"628661150595465216","","2802867446","2015-08-04 20:17:52 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@pixelsorter cmd[vertical true max 80 min 10 smooth true method uniqueness] https://t.co/MAKRLRCUph","","","","https://twitter.com/nicholiswood/status/628661150595465216/photo/1"
"616202944644411392","","","2015-07-01 11:13:25 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JoshOG: This months give away is here! Re tweet , favorite , and make sure you are following to win! Good Luck Have Fun! https://t.co/o8…","616154357487280128","2313002094","2015-07-01 08:00:21 +0000","https://twitter.com/JoshOG/status/616154357487280128/photo/1,https://twitter.com/JoshOG/status/616154357487280128/photo/1"
"579710307783700480","","395855003","2015-03-22 18:24:42 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@QusicS Any plans for only allowing something like 15 messages to be seen at most during quick reply? Love the beta so far, thanks!","","","",""
"577685481762091008","577651020659978240","35599730","2015-03-17 04:18:46 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@CokePokes if you go to press ""more recents"" when sending anything, SC will crash.","","","",""
"557023006262710272","556983031647326208","1035076543","2015-01-19 03:53:28 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Gomezkristen143 Coral Blue No.5","","","",""
"547834223214612480","","","2014-12-24 19:20:31 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CreeperHost: We have 25x 2GB VPS' to give away free for life! All you have to do is retweet! Happy Holidays https://t.co/XCGdwwJyl6 http…","547765133905510401","1418524326","2014-12-24 14:45:59 +0000","https://Creeper.Host/offers,https://twitter.com/CreeperHost/status/547765133905510401/photo/1,https://Creeper.Host/offers,https://twitter.com/CreeperHost/status/547765133905510401/photo/1"
"546071341837733888","","","2014-12-19 22:35:28 +0000","<a href=""https://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @pandora_radio: Day 5: @Pebble a poppin' + Pandora One! RT for a chance to win #12DaysofPandora https://t.co/VrntZR6JCQ","545926908278345728","5796972","2014-12-19 13:01:32 +0000","https://twitter.com/pandora_radio/status/545926908278345728/photo/1,https://twitter.com/pandora_radio/status/545926908278345728/photo/1"
